Tanggal;Harga Gabah Kering Giling (GKG) (Rp/Kg);ln (Data);Omega;P;Periodogram;F;1;1;2;2;3;3;4;4;5;5;6;6;7;7;8;8;9;9;10;10;11;11;12;12;13;13;14;14;15;15;16;16;17;17;18;18;19;19;20;20;21;21;22;22;23;23;24;24;25;25;26;26;27;27;28;28;29;29;30;30;31;31;32;32;33;33;34;34;35;35;36;36;37;37;38;38;39;39;40;40;41;41;;;;;;;;
;;;;;;;a1;b1;a2;b2;a3;b3;a4;b4;a5;b5;a6;b6;a7;b7;a8;b8;a9;b9;a10;b10;a11;b11;a12;b12;a13;b13;a14;b14;a15;b15;a16;b16;a17;b17;a18;b18;a19;b19;a20;b20;a21;b21;a22;b22;a23;b23;a24;b24;a25;b25;a26;b26;a27;b27;a28;b28;a29;b29;a30;b30;a31;b31;a32;b32;a33;b33;a34;b34;a35;b35;a36;b36;a37;b37;a38;b38;a39;b39;a40;b40;a41;b41;;;;;;;;
1;6098.88;8.715860427;0.075701028;83;0.784040325;46.63704994;0.209419243;0.015883605;0.207618219;0.031676229;0.204627976;0.047287416;0.200465643;0.062627744;0.195155061;0.077609346;0.188726648;0.092146409;0.181217226;0.106155665;0.172669808;0.119556872;0.163133354;0.132273268;0.152662486;0.144232014;0.141317181;0.155364612;0.129162424;0.165607296;0.116267837;0.174901397;0.102707278;0.183193678;0.08855842;0.190436642;0.073902309;0.196588802;0.058822891;0.20161492;0.043406542;0.205486205;0.027741563;0.208180484;0.011917684;0.209682324;-0.003974459;0.209983123;-0.019843837;0.209081158;-0.035599551;0.206981594;-0.051151353;0.203696459;-0.066410166;0.199244569;-0.081288587;0.193651424;-0.095701395;0.186949061;-0.109566033;0.179175871;-0.122803088;0.170376378;-0.135336737;0.160600984;-0.14709519;0.149905682;-0.158011094;0.138351735;-0.168021926;0.126005321;-0.177070343;0.112937159;-0.185104517;0.099222105;-0.19207843;0.084938714;-0.197952134;0.070168803;-0.202691987;0.054996971;-0.206270838;0.039510122;-0.208668189;0.023796962;-0.209870307;0.007947495;;;;;;;;
2;6094.17;8.715087855;0.151402056;41.5;0.442376302;17.44858453;0.207599816;0.031673422;0.200447874;0.062622193;0.188709919;0.092138241;0.172654503;0.119546275;0.152648954;0.144219229;0.129150975;0.165592617;0.102698174;0.183177439;0.073895758;0.196571377;0.043402694;0.205467991;0.011916627;0.209663738;-0.019842078;0.209062625;-0.051146819;0.203678403;-0.081281382;0.193634259;-0.109556321;0.179159989;-0.135324741;0.160586748;-0.157997088;0.138339471;-0.177054648;0.112927149;-0.192061404;0.084931185;-0.20267402;0.054992096;-0.208649692;0.023794852;-0.209851704;-0.00794679;-0.206252554;-0.039506619;-0.197934588;-0.070162583;-0.18508811;-0.09921331;-0.168007032;-0.125994151;-0.147082151;-0.149892395;-0.122792202;-0.170361276;-0.095692912;-0.18693249;-0.066404279;-0.199226908;-0.035596395;-0.206963247;-0.003974107;-0.20996451;0.027739104;-0.208162031;0.058817677;-0.201597049;0.088550571;-0.190419762;0.116257531;-0.174885893;0.141304655;-0.155350841;0.163118893;-0.132261543;0.181201163;-0.106146256;0.195137762;-0.077602467;0.204609838;-0.047283224;0.20940068;-0.015882197;;;;;;;;
3;5554.68;8.622396095;0.227103083;27.66666667;0.039552512;1.116554158;0.202433653;0.04678033;0.186702842;0.091158279;0.161383997;0.130854838;0.127777354;0.16383141;0.087608766;0.188394499;0.042941073;0.203282678;-0.003931839;0.207731374;-0.050602833;0.201512125;-0.094675143;0.184944317;-0.133885456;0.158878783;-0.166220147;0.124654105;-0.190018681;0.084027876;-0.204058897;0.039086436;-0.207619767;-0.00786227;-0.200518424;-0.054407212;-0.183119553;-0.098158099;-0.156316666;-0.136868123;-0.121486211;-0.16854935;-0.080416891;-0.191574807;-0.0352178;-0.204762032;0.011789885;-0.207433801;0.058192105;-0.199452907;0.101605898;-0.181229204;0.139801769;-0.153698563;0.170818188;-0.118274807;0.19306232;-0.076777104;0.20539183;-0.03133655;0.207173541;0.015713277;0.198315954;0.061956157;0.179273947;0.105017308;0.151025413;0.142685345;0.115021041;0.173025845;0.073109819;0.194480687;0.027444077;0.205948066;-0.019631042;0.206839081;-0.065698018;0.197107974;-0.108391104;0.177254483;-0.145517818;0.148298172;-0.175171533;0.11172608;-0.195829399;0.069416349;-0.20643054;0.023541775;;;;;;;;
4;5366.65;8.587959157;0.302804111;20.75;0.027128606;0.759174975;0.197523901;0.06170871;0.170135958;0.11780243;0.127267025;0.163177085;0.072817826;0.193703951;0.011742797;0.206605332;-0.050400731;0.200707307;-0.107958202;0.176546547;-0.155692354;0.136321486;-0.189259766;0.083692278;-0.205606078;0.023447752;-0.203243908;-0.038930329;-0.182388193;-0.097766065;-0.144936635;-0.147705885;-0.09429702;-0.184205669;-0.035077143;-0.203944234;0.027334469;-0.205125531;0.087258866;-0.187642071;0.139243416;-0.153084708;0.178557946;-0.10459788;0.201625154;-0.046593494;0.206346112;0.01565052;0.192291249;0.076470464;0.160739446;0.130332218;0.114561659;0.172334798;0.057959692;0.198656313;-0.003916136;0.206901717;-0.065435627;0.196320746;-0.121001008;0.167876182;-0.165556281;0.12415625;-0.195047277;0.069139108;-0.206790556;0.007830869;-0.199717575;-0.054189916;-0.174471917;-0.111279858;-0.133350732;-0.158244238;-0.080095714;-0.190809678;-0.019552637;-0.206012987;0.042769571;-0.202470789;0.101200095;-0.180505394;0.150422233;-0.142115475;0.185957171;-0.090794202;0.204571516;-0.031211395;;;;;;;;
5;5373.33;8.589203107;0.378505139;16.6;0.013871466;0.384615985;0.192319103;0.076481541;0.150444022;0.14213606;0.087271505;0.187669251;0.011744498;0.206635259;-0.065445105;0.196349183;-0.133370048;0.158267159;-0.182414612;0.097780227;-0.20563586;0.023451148;-0.199746503;-0.054197765;-0.165580261;-0.124174234;-0.107973839;-0.176572119;-0.035082224;-0.203973775;0.042775766;-0.202500116;0.114578253;-0.172359761;0.170160602;-0.117819493;0.201654359;-0.046600243;0.204601148;0.031215916;0.17858381;0.10461303;0.127285459;0.163200721;0.057968088;0.198685088;-0.01955547;0.206042828;-0.094310679;0.184232351;-0.155714905;0.136341232;-0.195075529;0.069149123;-0.206820509;-0.007832003;-0.18928718;-0.0837044;-0.144957629;-0.14772728;-0.080107316;-0.190837316;-0.003916703;-0.206931686;0.072828374;-0.193732009;0.139263585;-0.153106882;0.185984106;-0.090807354;0.206376;-0.015652787;0.197552512;0.061717649;0.160762729;0.130351096;0.101214754;0.18053154;0.027338428;0.205155243;-0.050408031;0.200736379;-0.121018535;0.167900499;-0.174497189;0.111295977;-0.203273347;0.038935968;;;;;;;;
6;5467.96;8.606660883;0.454206167;13.83333333;0.005424598;0.149533016;0.186362124;0.090991922;0.12754417;0.16353243;0.042862709;0.202911703;-0.050510487;0.20114438;-0.133641126;0.158588841;-0.189671911;0.083874532;-0.207240877;-0.007847922;-0.182785374;-0.097978968;-0.121264508;-0.168241761;-0.03515353;-0.204388357;0.058085909;-0.19908892;0.139546642;-0.153418075;0.192709996;-0.076636992;0.206795465;0.015684602;0.178946786;0.104825659;0.114811137;0.172710086;0.027393994;0.205572226;-0.065578124;0.196748267;-0.145252259;0.148027539;-0.195472025;0.06928967;-0.20605382;-0.023498813;-0.174851859;-0.111522189;-0.108193299;-0.176931007;-0.019595217;-0.206461615;0.072976399;-0.194125774;0.150749803;-0.142424955;0.197954043;-0.061843091;0.205017005;0.031279363;0.170506457;0.118058964;0.101420475;0.180898475;0.011768369;0.20705525;-0.080270136;0.191225198;-0.1560314;0.136618349;-0.200152493;0.054307923;-0.203686506;-0.039015106;-0.165916808;-0.124426621;-0.094502368;-0.184606808;-0.003924664;-0.20735228;0.087448887;-0.188050693;0.161089483;-0.130616038;0.202064227;-0.04669496;;;;;;;;
7;5312.54;8.577825343;0.529907195;11.85714286;0.071670168;2.070148422;0.178347247;0.104474454;0.101080679;0.180292397;-0.003911515;0.206657572;-0.107830811;0.176338221;-0.182172975;0.097650701;-0.206546543;-0.007821628;-0.174266039;-0.111148548;-0.09418575;-0.183988306;0.011728941;-0.206361537;0.114426476;-0.172131443;0.185737741;-0.090687065;0.206102623;0.015632052;0.169935197;0.117663422;0.0871559;0.187420653;-0.019529565;0.205769891;-0.120858227;0.167678088;-0.189036439;0.08359352;-0.205363463;-0.023420084;-0.165360924;-0.124009745;-0.080001201;-0.190584522;0.027302214;-0.204883482;0.127116849;-0.162984535;0.192064345;-0.076380229;0.204330122;0.031174566;0.160549773;0.130178425;0.072731901;0.19347538;-0.035035752;0.203703579;-0.133193378;0.158057509;-0.194817121;0.069057524;-0.203004079;-0.038884391;-0.155508636;-0.136160626;-0.065358413;-0.196089087;0.042719102;-0.202231873;0.139079108;-0.152904067;0.197290823;-0.061635894;0.201387236;0.046538514;0.150244735;0.141947778;0.0578913;0.198421898;-0.050341258;0.200470471;-0.144765609;0.147531592;-0.199481907;0.054125971;;;;;;;;
8;5399.9;8.594135714;0.605608222;10.375;0.01480252;0.410696519;0.170258322;0.117887154;0.072870198;0.193843265;-0.050436979;0.200851657;-0.155804329;0.13641953;-0.205753953;0.023464616;-0.182519369;-0.09783638;-0.09436484;-0.184338152;0.027354128;-0.205273059;0.139343561;-0.153194808;0.201770165;-0.046627005;0.192429548;0.076525463;0.114644053;0.172458744;-0.003918952;0.207050523;-0.121088034;0.167996921;-0.195187557;0.069188834;-0.199861214;-0.05422889;-0.133446639;-0.158358049;-0.0195667;-0.206161154;0.101272879;-0.180635216;0.186090913;-0.090859503;0.204718647;0.031233843;0.150530419;0.142217686;0.042800331;0.202616408;-0.08015332;0.19094691;-0.174597399;0.111359892;-0.206939282;-0.007836501;-0.165675351;-0.124245545;-0.065482689;-0.196461942;0.058001378;-0.198799189;0.160855052;-0.130425954;0.206494518;-0.015661776;0.178686367;0.104673108;0.087321624;0.187777025;-0.035102371;0.204090913;-0.145040875;0.147812117;-0.203390083;0.038958328;-0.189395884;-0.08375247;-0.108035847;-0.176673521;0.011751243;-0.206753925;0.127358556;-0.163294444;0.197665963;-0.061753092;;;;;;;;
