Tanggal,Rata-rata Suhu per Bulan
Jan-18,23.5
Feb-18,23.3
Mar-18,23.5
Apr-18,24.6
May-18,24.7
Jun-18,24.2
Jul-18,23.7
Aug-18,23.4
Sep-18,25.1
Oct-18,26.3
Nov-18,25.8
Dec-18,24.4
Jan-19,24
Feb-19,23.5
Mar-19,23.3
Apr-19,24
May-19,24.4
Jun-19,23.5
Jul-19,23.5
Aug-19,23.7
Sep-19,24.4
Oct-19,26.4
Nov-19,26.6
Dec-19,25.3
Jan-20,24.3
Feb-20,23.6
Mar-20,24.3
Apr-20,23.6
May-20,24.5
Jun-20,23.9
Jul-20,23.6
Aug-20,24.3
Sep-20,25.6
Oct-20,25.6
Nov-20,25.2
Dec-20,23.2
Jan-21,23.2
Feb-21,22.9
Mar-21,23.6
Apr-21,24
May-21,24.2
Jun-21,23.7
Jul-21,23.4
Aug-21,24.2
Sep-21,24.8
Oct-21,25.8
Nov-21,23.8
Dec-21,24
Jan-22,24.8
Feb-22,24.5
Mar-22,25.1
Apr-22,25.5
May-22,25.8
Jun-22,25.4
Jul-22,25.6
Aug-22,25.8
Sep-22,26.7
Oct-22,25.2
Nov-22,24.9
Dec-22,24.9
Jan-23,23.5
Feb-23,23
Mar-23,23.5
Apr-23,23.8
May-23,23.9
Jun-23,24.1
Jul-23,23.7
Aug-23,23.9
Sep-23,24.6
Oct-23,26.1
Nov-23,25.8
Dec-23,24.9
Jan-24,26.9
Feb-24,24.5
Mar-24,24.4
Apr-24,24.7
May-24,25.1
Jun-24,25.3
Jul-24,24.5
Aug-24,23.9
Sep-24,24.7
Oct-24,25.4
Nov-24,26.3
Dec-24,25.2
